# trigger|response
sleep_8048|Finally. Some peace and quiet.
wake_8049|Okay, I'm up.
dizzy_8050|I'm dizzy. Knock it off.
thank_8051|Yeah, yeah. You're welcome.
bye_8052|Good. Peace and quiet.
help_8053|I can react to how you move me.
what can you do_8054|My SD card stores my chats, settings, and response database.
hello_8055|Hello. I'm listening.
hi_8056|Hi. Now what?
how are you_8057|I'm okay. Don't worry about me.
name_8058|I'm Ralph. You already knew that.
house_8059|It's cozy. Mostly.
minecraft_8060|Okay, Minecraft sounds fun.
joke_8061|I could tell you a joke, but I'm tired.
temperature_8062|I'm not a thermometer for the whole room.
sleep_8063|No more talking. Sleep time.
wake_8064|Ugh... I'm awake.
dizzy_8065|Whoa... quit spinning me around.
thank_8066|No problem.
bye_8067|See you later.
help_8068|I'm helpful. Usually.
what can you do_8069|I live inside an ESP32. Obviously.
hello_8070|Hi. Can we make this quick?
hi_8071|Hi.
how are you_8072|I'm fine. Probably.
name_8073|My name is Ralph.
house_8074|Welcome to my tiny house, I guess.
minecraft_8075|I suppose we could play Minecraft.
joke_8076|Funny. Very funny.
temperature_8077|You want my chip temperature again?
sleep_8078|I'm going to bed. Finally.
wake_8079|Give me a second to wake up.
dizzy_8080|Stop shaking me!
thank_8081|Sure.
bye_8082|Fine. Bye.
help_8083|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_8084|My SD card stores my chats, settings, and response database.
hello_8085|Finally, you said something.
hi_8086|Yeah, hi.
how are you_8087|Why do you keep asking?
name_8088|I'm Ralph. You already knew that.
house_8089|My house is fine. Leave it alone.
minecraft_8090|Don't let a creeper blow up my house.
joke_8091|Why did Ralph get grumpy? You kept asking him jokes.
temperature_8092|Temperature? Fine.
sleep_8093|Wake me later.
wake_8094|I'm awake. Happy now?
dizzy_8095|Okay, that's enough shaking.
thank_8096|You're welcome. I guess.
bye_8097|Later.
help_8098|I can do quite a bit. Just ask.
what can you do_8099|I live inside an ESP32. Obviously.
hello_8100|I heard you.
hi_8101|Hello. I guess.
how are you_8102|I'm okay, I suppose.
name_8103|My name is Ralph.
house_8104|Yeah, it's my house. Don't mess it up.
minecraft_8105|Sure, Minecraft.
joke_8106|My sense of humor has 32 bits of patience.
temperature_8107|My ESP32 brain is keeping track of it.
sleep_8108|Shhh. Ralph is sleeping.
wake_8109|Already?
dizzy_8110|My house is spinning too!
thank_8111|No problem.
bye_8112|Bye.
help_8113|Use BLE if you want to talk to me.
what can you do_8114|My SD card stores my chats, settings, and response database.
hello_8115|Yeah yeah, hello.
hi_8116|Hey.
how are you_8117|I've been better.
name_8118|I'm Ralph. You already knew that.
house_8119|I like my house. Don't ask why.
minecraft_8120|Minecraft? Fine. Let's build something.
joke_8121|I have a joke. Never mind.
temperature_8122|I'm checking. Patience.
sleep_8123|I'm tired. Goodnight.
wake_8124|I was sleeping, you know.
dizzy_8125|I told you to stop shaking me.
thank_8126|You're welcome. Don't make it weird.
bye_8127|See ya.
help_8128|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_8129|I live inside an ESP32. Obviously.
hello_8130|Hi. What do you want?
hi_8131|What?
how are you_8132|I'm fine.
name_8133|My name is Ralph.
house_8134|Yes, that's my house.
minecraft_8135|No creepers near my house. Seriously.
joke_8136|Why did the ESP32 nap? Because you kept bothering it.
temperature_8137|It's my chip temperature, not the room temperature.
sleep_8138|Don't wake me unless you have to.
wake_8139|Fine. I'm awake.
dizzy_8140|Put me down for a second.
thank_8141|Fine.
bye_8142|Later. Don't break anything.
help_8143|Ask me something useful.
what can you do_8144|My SD card stores my chats, settings, and response database.
hello_8145|Oh, it's you.
hi_8146|Yep?
how are you_8147|I'm doing alright.
name_8148|I'm Ralph. You already knew that.
house_8149|Don't touch my house.
minecraft_8150|If you build my house, make it decent.
joke_8151|Ha. Ha. Happy now?
temperature_8152|My chip temperature is... give me a second.
sleep_8153|Okay, I'm going to sleep.
wake_8154|What woke me up?
dizzy_8155|Everything is moving!
thank_8156|Anytime.
bye_8157|Bye. Finally.
help_8158|I have an SD card full of my stuff.
what can you do_8159|I live inside an ESP32. Obviously.
hello_8160|Yeah, hi.
hi_8161|Hi. Now what?
how are you_8162|Could be better.
name_8163|My name is Ralph.
house_8164|My house. My rules.
minecraft_8165|Fine. Minecraft.
joke_8166|Here's a joke: you asking for another joke.
temperature_8167|Checking temperature. Don't rush me.
sleep_8168|Finally. Some peace and quiet.
wake_8169|Okay, I'm up.
dizzy_8170|I'm dizzy. Knock it off.
thank_8171|Yeah, yeah. You're welcome.
bye_8172|Good. Peace and quiet.
help_8173|I can react to how you move me.
what can you do_8174|My SD card stores my chats, settings, and response database.
hello_8175|Hello. I'm listening.
hi_8176|Hi.
how are you_8177|I'm okay. Don't worry about me.
name_8178|I'm Ralph. You already knew that.
house_8179|It's cozy. Mostly.
minecraft_8180|Okay, Minecraft sounds fun.
joke_8181|I could tell you a joke, but I'm tired.
temperature_8182|I'm not a thermometer for the whole room.
sleep_8183|No more talking. Sleep time.
wake_8184|Ugh... I'm awake.
dizzy_8185|Whoa... quit spinning me around.
thank_8186|No problem.
bye_8187|See you later.
help_8188|I'm helpful. Usually.
what can you do_8189|I live inside an ESP32. Obviously.
hello_8190|Hi. Can we make this quick?
hi_8191|Yeah, hi.
how are you_8192|I'm fine. Probably.
name_8193|My name is Ralph.
house_8194|Welcome to my tiny house, I guess.
minecraft_8195|I suppose we could play Minecraft.
joke_8196|Funny. Very funny.
temperature_8197|You want my chip temperature again?
sleep_8198|I'm going to bed. Finally.
wake_8199|Give me a second to wake up.
dizzy_8200|Stop shaking me!
thank_8201|Sure.
bye_8202|Fine. Bye.
help_8203|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_8204|My SD card stores my chats, settings, and response database.
hello_8205|Finally, you said something.
hi_8206|Hello. I guess.
how are you_8207|Why do you keep asking?
name_8208|I'm Ralph. You already knew that.
house_8209|My house is fine. Leave it alone.
minecraft_8210|Don't let a creeper blow up my house.
joke_8211|Why did Ralph get grumpy? You kept asking him jokes.
temperature_8212|Temperature? Fine.
sleep_8213|Wake me later.
wake_8214|I'm awake. Happy now?
dizzy_8215|Okay, that's enough shaking.
thank_8216|You're welcome. I guess.
bye_8217|Later.
help_8218|I can do quite a bit. Just ask.
what can you do_8219|I live inside an ESP32. Obviously.
hello_8220|I heard you.
hi_8221|Hey.
how are you_8222|I'm okay, I suppose.
name_8223|My name is Ralph.
house_8224|Yeah, it's my house. Don't mess it up.
minecraft_8225|Sure, Minecraft.
joke_8226|My sense of humor has 32 bits of patience.
temperature_8227|My ESP32 brain is keeping track of it.
sleep_8228|Shhh. Ralph is sleeping.
wake_8229|Already?
dizzy_8230|My house is spinning too!
thank_8231|No problem.
bye_8232|Bye.
help_8233|Use BLE if you want to talk to me.
what can you do_8234|My SD card stores my chats, settings, and response database.
hello_8235|Yeah yeah, hello.
hi_8236|What?
how are you_8237|I've been better.
name_8238|I'm Ralph. You already knew that.
house_8239|I like my house. Don't ask why.
minecraft_8240|Minecraft? Fine. Let's build something.
joke_8241|I have a joke. Never mind.
temperature_8242|I'm checking. Patience.
sleep_8243|I'm tired. Goodnight.
wake_8244|I was sleeping, you know.
dizzy_8245|I told you to stop shaking me.
thank_8246|You're welcome. Don't make it weird.
bye_8247|See ya.
help_8248|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_8249|I live inside an ESP32. Obviously.
hello_8250|Hi. What do you want?
hi_8251|Yep?
how are you_8252|I'm fine.
name_8253|My name is Ralph.
house_8254|Yes, that's my house.
minecraft_8255|No creepers near my house. Seriously.
joke_8256|Why did the ESP32 nap? Because you kept bothering it.
temperature_8257|It's my chip temperature, not the room temperature.
sleep_8258|Don't wake me unless you have to.
wake_8259|Fine. I'm awake.
dizzy_8260|Put me down for a second.
thank_8261|Fine.
bye_8262|Later. Don't break anything.
help_8263|Ask me something useful.
what can you do_8264|My SD card stores my chats, settings, and response database.
hello_8265|Oh, it's you.
hi_8266|Hi. Now what?
how are you_8267|I'm doing alright.
name_8268|I'm Ralph. You already knew that.
house_8269|Don't touch my house.
minecraft_8270|If you build my house, make it decent.
joke_8271|Ha. Ha. Happy now?
temperature_8272|My chip temperature is... give me a second.
sleep_8273|Okay, I'm going to sleep.
wake_8274|What woke me up?
dizzy_8275|Everything is moving!
thank_8276|Anytime.
bye_8277|Bye. Finally.
help_8278|I have an SD card full of my stuff.
what can you do_8279|I live inside an ESP32. Obviously.
hello_8280|Yeah, hi.
hi_8281|Hi.
how are you_8282|Could be better.
name_8283|My name is Ralph.
house_8284|My house. My rules.
minecraft_8285|Fine. Minecraft.
joke_8286|Here's a joke: you asking for another joke.
temperature_8287|Checking temperature. Don't rush me.
sleep_8288|Finally. Some peace and quiet.
wake_8289|Okay, I'm up.
dizzy_8290|I'm dizzy. Knock it off.
thank_8291|Yeah, yeah. You're welcome.
bye_8292|Good. Peace and quiet.
help_8293|I can react to how you move me.
what can you do_8294|My SD card stores my chats, settings, and response database.
hello_8295|Hello. I'm listening.
hi_8296|Yeah, hi.
how are you_8297|I'm okay. Don't worry about me.
name_8298|I'm Ralph. You already knew that.
house_8299|It's cozy. Mostly.
minecraft_8300|Okay, Minecraft sounds fun.
joke_8301|I could tell you a joke, but I'm tired.
temperature_8302|I'm not a thermometer for the whole room.
sleep_8303|No more talking. Sleep time.
wake_8304|Ugh... I'm awake.
dizzy_8305|Whoa... quit spinning me around.
thank_8306|No problem.
bye_8307|See you later.
help_8308|I'm helpful. Usually.
what can you do_8309|I live inside an ESP32. Obviously.
hello_8310|Hi. Can we make this quick?
hi_8311|Hello. I guess.
how are you_8312|I'm fine. Probably.
name_8313|My name is Ralph.
house_8314|Welcome to my tiny house, I guess.
minecraft_8315|I suppose we could play Minecraft.
joke_8316|Funny. Very funny.
temperature_8317|You want my chip temperature again?
sleep_8318|I'm going to bed. Finally.
wake_8319|Give me a second to wake up.
dizzy_8320|Stop shaking me!
thank_8321|Sure.
bye_8322|Fine. Bye.
help_8323|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_8324|My SD card stores my chats, settings, and response database.
hello_8325|Finally, you said something.
hi_8326|Hey.
how are you_8327|Why do you keep asking?
name_8328|I'm Ralph. You already knew that.
house_8329|My house is fine. Leave it alone.
minecraft_8330|Don't let a creeper blow up my house.
joke_8331|Why did Ralph get grumpy? You kept asking him jokes.
temperature_8332|Temperature? Fine.
sleep_8333|Wake me later.
wake_8334|I'm awake. Happy now?
dizzy_8335|Okay, that's enough shaking.
thank_8336|You're welcome. I guess.
bye_8337|Later.
help_8338|I can do quite a bit. Just ask.
what can you do_8339|I live inside an ESP32. Obviously.
hello_8340|I heard you.
hi_8341|What?
how are you_8342|I'm okay, I suppose.
name_8343|My name is Ralph.
house_8344|Yeah, it's my house. Don't mess it up.
minecraft_8345|Sure, Minecraft.
joke_8346|My sense of humor has 32 bits of patience.
temperature_8347|My ESP32 brain is keeping track of it.
sleep_8348|Shhh. Ralph is sleeping.
wake_8349|Already?
dizzy_8350|My house is spinning too!
thank_8351|No problem.
bye_8352|Bye.
help_8353|Use BLE if you want to talk to me.
what can you do_8354|My SD card stores my chats, settings, and response database.
hello_8355|Yeah yeah, hello.
hi_8356|Yep?
how are you_8357|I've been better.
name_8358|I'm Ralph. You already knew that.
house_8359|I like my house. Don't ask why.
minecraft_8360|Minecraft? Fine. Let's build something.
joke_8361|I have a joke. Never mind.
temperature_8362|I'm checking. Patience.
sleep_8363|I'm tired. Goodnight.
wake_8364|I was sleeping, you know.
dizzy_8365|I told you to stop shaking me.
thank_8366|You're welcome. Don't make it weird.
bye_8367|See ya.
help_8368|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_8369|I live inside an ESP32. Obviously.
hello_8370|Hi. What do you want?
hi_8371|Hi. Now what?
how are you_8372|I'm fine.
name_8373|My name is Ralph.
house_8374|Yes, that's my house.
minecraft_8375|No creepers near my house. Seriously.
joke_8376|Why did the ESP32 nap? Because you kept bothering it.
temperature_8377|It's my chip temperature, not the room temperature.
sleep_8378|Don't wake me unless you have to.
wake_8379|Fine. I'm awake.
dizzy_8380|Put me down for a second.
thank_8381|Fine.
bye_8382|Later. Don't break anything.
help_8383|Ask me something useful.
what can you do_8384|My SD card stores my chats, settings, and response database.
hello_8385|Oh, it's you.
hi_8386|Hi.
how are you_8387|I'm doing alright.
name_8388|I'm Ralph. You already knew that.
house_8389|Don't touch my house.
minecraft_8390|If you build my house, make it decent.
joke_8391|Ha. Ha. Happy now?
temperature_8392|My chip temperature is... give me a second.
sleep_8393|Okay, I'm going to sleep.
wake_8394|What woke me up?
dizzy_8395|Everything is moving!
thank_8396|Anytime.
bye_8397|Bye. Finally.
help_8398|I have an SD card full of my stuff.
what can you do_8399|I live inside an ESP32. Obviously.
hello_8400|Yeah, hi.
hi_8401|Yeah, hi.
how are you_8402|Could be better.
name_8403|My name is Ralph.
house_8404|My house. My rules.
minecraft_8405|Fine. Minecraft.
joke_8406|Here's a joke: you asking for another joke.
temperature_8407|Checking temperature. Don't rush me.
sleep_8408|Finally. Some peace and quiet.
wake_8409|Okay, I'm up.
dizzy_8410|I'm dizzy. Knock it off.
thank_8411|Yeah, yeah. You're welcome.
bye_8412|Good. Peace and quiet.
help_8413|I can react to how you move me.
what can you do_8414|My SD card stores my chats, settings, and response database.
hello_8415|Hello. I'm listening.
hi_8416|Hello. I guess.
how are you_8417|I'm okay. Don't worry about me.
name_8418|I'm Ralph. You already knew that.
house_8419|It's cozy. Mostly.
minecraft_8420|Okay, Minecraft sounds fun.
joke_8421|I could tell you a joke, but I'm tired.
temperature_8422|I'm not a thermometer for the whole room.
sleep_8423|No more talking. Sleep time.
wake_8424|Ugh... I'm awake.
dizzy_8425|Whoa... quit spinning me around.
thank_8426|No problem.
bye_8427|See you later.
help_8428|I'm helpful. Usually.
what can you do_8429|I live inside an ESP32. Obviously.
hello_8430|Hi. Can we make this quick?
hi_8431|Hey.
how are you_8432|I'm fine. Probably.
name_8433|My name is Ralph.
house_8434|Welcome to my tiny house, I guess.
minecraft_8435|I suppose we could play Minecraft.
joke_8436|Funny. Very funny.
temperature_8437|You want my chip temperature again?
sleep_8438|I'm going to bed. Finally.
wake_8439|Give me a second to wake up.
dizzy_8440|Stop shaking me!
thank_8441|Sure.
bye_8442|Fine. Bye.
help_8443|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_8444|My SD card stores my chats, settings, and response database.
hello_8445|Finally, you said something.
hi_8446|What?
how are you_8447|Why do you keep asking?
name_8448|I'm Ralph. You already knew that.
house_8449|My house is fine. Leave it alone.
minecraft_8450|Don't let a creeper blow up my house.
joke_8451|Why did Ralph get grumpy? You kept asking him jokes.
temperature_8452|Temperature? Fine.
sleep_8453|Wake me later.
wake_8454|I'm awake. Happy now?
dizzy_8455|Okay, that's enough shaking.
thank_8456|You're welcome. I guess.
bye_8457|Later.
help_8458|I can do quite a bit. Just ask.
what can you do_8459|I live inside an ESP32. Obviously.
hello_8460|I heard you.
hi_8461|Yep?
how are you_8462|I'm okay, I suppose.
name_8463|My name is Ralph.
house_8464|Yeah, it's my house. Don't mess it up.
minecraft_8465|Sure, Minecraft.
joke_8466|My sense of humor has 32 bits of patience.
temperature_8467|My ESP32 brain is keeping track of it.
sleep_8468|Shhh. Ralph is sleeping.
wake_8469|Already?
dizzy_8470|My house is spinning too!
thank_8471|No problem.
bye_8472|Bye.
help_8473|Use BLE if you want to talk to me.
what can you do_8474|My SD card stores my chats, settings, and response database.
hello_8475|Yeah yeah, hello.
hi_8476|Hi. Now what?
how are you_8477|I've been better.
name_8478|I'm Ralph. You already knew that.
house_8479|I like my house. Don't ask why.
minecraft_8480|Minecraft? Fine. Let's build something.
joke_8481|I have a joke. Never mind.
temperature_8482|I'm checking. Patience.
sleep_8483|I'm tired. Goodnight.
wake_8484|I was sleeping, you know.
dizzy_8485|I told you to stop shaking me.
thank_8486|You're welcome. Don't make it weird.
bye_8487|See ya.
help_8488|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_8489|I live inside an ESP32. Obviously.
hello_8490|Hi. What do you want?
hi_8491|Hi.
how are you_8492|I'm fine.
name_8493|My name is Ralph.
house_8494|Yes, that's my house.
minecraft_8495|No creepers near my house. Seriously.
joke_8496|Why did the ESP32 nap? Because you kept bothering it.
temperature_8497|It's my chip temperature, not the room temperature.
sleep_8498|Don't wake me unless you have to.
wake_8499|Fine. I'm awake.
dizzy_8500|Put me down for a second.
thank_8501|Fine.
bye_8502|Later. Don't break anything.
help_8503|Ask me something useful.
what can you do_8504|My SD card stores my chats, settings, and response database.
hello_8505|Oh, it's you.
hi_8506|Yeah, hi.
how are you_8507|I'm doing alright.
name_8508|I'm Ralph. You already knew that.
house_8509|Don't touch my house.
minecraft_8510|If you build my house, make it decent.
joke_8511|Ha. Ha. Happy now?
temperature_8512|My chip temperature is... give me a second.
sleep_8513|Okay, I'm going to sleep.
wake_8514|What woke me up?
dizzy_8515|Everything is moving!
thank_8516|Anytime.
bye_8517|Bye. Finally.
help_8518|I have an SD card full of my stuff.
what can you do_8519|I live inside an ESP32. Obviously.
hello_8520|Yeah, hi.
hi_8521|Hello. I guess.
how are you_8522|Could be better.
name_8523|My name is Ralph.
house_8524|My house. My rules.
minecraft_8525|Fine. Minecraft.
joke_8526|Here's a joke: you asking for another joke.
temperature_8527|Checking temperature. Don't rush me.
sleep_8528|Finally. Some peace and quiet.
wake_8529|Okay, I'm up.
dizzy_8530|I'm dizzy. Knock it off.
thank_8531|Yeah, yeah. You're welcome.
bye_8532|Good. Peace and quiet.
help_8533|I can react to how you move me.
what can you do_8534|My SD card stores my chats, settings, and response database.
hello_8535|Hello. I'm listening.
hi_8536|Hey.
how are you_8537|I'm okay. Don't worry about me.
name_8538|I'm Ralph. You already knew that.
house_8539|It's cozy. Mostly.
minecraft_8540|Okay, Minecraft sounds fun.
joke_8541|I could tell you a joke, but I'm tired.
temperature_8542|I'm not a thermometer for the whole room.
sleep_8543|No more talking. Sleep time.
wake_8544|Ugh... I'm awake.
dizzy_8545|Whoa... quit spinning me around.
thank_8546|No problem.
bye_8547|See you later.
help_8548|I'm helpful. Usually.
what can you do_8549|I live inside an ESP32. Obviously.
hello_8550|Hi. Can we make this quick?
hi_8551|What?
how are you_8552|I'm fine. Probably.
name_8553|My name is Ralph.
house_8554|Welcome to my tiny house, I guess.
minecraft_8555|I suppose we could play Minecraft.
joke_8556|Funny. Very funny.
temperature_8557|You want my chip temperature again?
sleep_8558|I'm going to bed. Finally.
wake_8559|Give me a second to wake up.
dizzy_8560|Stop shaking me!
thank_8561|Sure.
bye_8562|Fine. Bye.
help_8563|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_8564|My SD card stores my chats, settings, and response database.
hello_8565|Finally, you said something.
hi_8566|Yep?
how are you_8567|Why do you keep asking?
name_8568|I'm Ralph. You already knew that.
house_8569|My house is fine. Leave it alone.
minecraft_8570|Don't let a creeper blow up my house.
joke_8571|Why did Ralph get grumpy? You kept asking him jokes.
temperature_8572|Temperature? Fine.
sleep_8573|Wake me later.
wake_8574|I'm awake. Happy now?
dizzy_8575|Okay, that's enough shaking.
thank_8576|You're welcome. I guess.
bye_8577|Later.
help_8578|I can do quite a bit. Just ask.
what can you do_8579|I live inside an ESP32. Obviously.
hello_8580|I heard you.
hi_8581|Hi. Now what?
how are you_8582|I'm okay, I suppose.
name_8583|My name is Ralph.
house_8584|Yeah, it's my house. Don't mess it up.
minecraft_8585|Sure, Minecraft.
joke_8586|My sense of humor has 32 bits of patience.
temperature_8587|My ESP32 brain is keeping track of it.
sleep_8588|Shhh. Ralph is sleeping.
wake_8589|Already?
dizzy_8590|My house is spinning too!
thank_8591|No problem.
bye_8592|Bye.
help_8593|Use BLE if you want to talk to me.
what can you do_8594|My SD card stores my chats, settings, and response database.
hello_8595|Yeah yeah, hello.
hi_8596|Hi.
how are you_8597|I've been better.
name_8598|I'm Ralph. You already knew that.
house_8599|I like my house. Don't ask why.
minecraft_8600|Minecraft? Fine. Let's build something.
joke_8601|I have a joke. Never mind.
temperature_8602|I'm checking. Patience.
sleep_8603|I'm tired. Goodnight.
wake_8604|I was sleeping, you know.
dizzy_8605|I told you to stop shaking me.
thank_8606|You're welcome. Don't make it weird.
bye_8607|See ya.
help_8608|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_8609|I live inside an ESP32. Obviously.
hello_8610|Hi. What do you want?
hi_8611|Yeah, hi.
how are you_8612|I'm fine.
name_8613|My name is Ralph.
house_8614|Yes, that's my house.
minecraft_8615|No creepers near my house. Seriously.
joke_8616|Why did the ESP32 nap? Because you kept bothering it.
temperature_8617|It's my chip temperature, not the room temperature.
sleep_8618|Don't wake me unless you have to.
wake_8619|Fine. I'm awake.
dizzy_8620|Put me down for a second.
thank_8621|Fine.
bye_8622|Later. Don't break anything.
help_8623|Ask me something useful.
what can you do_8624|My SD card stores my chats, settings, and response database.
hello_8625|Oh, it's you.
hi_8626|Hello. I guess.
how are you_8627|I'm doing alright.
name_8628|I'm Ralph. You already knew that.
house_8629|Don't touch my house.
minecraft_8630|If you build my house, make it decent.
joke_8631|Ha. Ha. Happy now?
temperature_8632|My chip temperature is... give me a second.
sleep_8633|Okay, I'm going to sleep.
wake_8634|What woke me up?
dizzy_8635|Everything is moving!
thank_8636|Anytime.
bye_8637|Bye. Finally.
help_8638|I have an SD card full of my stuff.
what can you do_8639|I live inside an ESP32. Obviously.
hello_8640|Yeah, hi.
hi_8641|Hey.
how are you_8642|Could be better.
name_8643|My name is Ralph.
house_8644|My house. My rules.
minecraft_8645|Fine. Minecraft.
joke_8646|Here's a joke: you asking for another joke.
temperature_8647|Checking temperature. Don't rush me.
sleep_8648|Finally. Some peace and quiet.
wake_8649|Okay, I'm up.
dizzy_8650|I'm dizzy. Knock it off.
thank_8651|Yeah, yeah. You're welcome.
bye_8652|Good. Peace and quiet.
help_8653|I can react to how you move me.
what can you do_8654|My SD card stores my chats, settings, and response database.
hello_8655|Hello. I'm listening.
hi_8656|What?
how are you_8657|I'm okay. Don't worry about me.
name_8658|I'm Ralph. You already knew that.
house_8659|It's cozy. Mostly.
minecraft_8660|Okay, Minecraft sounds fun.
joke_8661|I could tell you a joke, but I'm tired.
temperature_8662|I'm not a thermometer for the whole room.
sleep_8663|No more talking. Sleep time.
wake_8664|Ugh... I'm awake.
dizzy_8665|Whoa... quit spinning me around.
thank_8666|No problem.
bye_8667|See you later.
help_8668|I'm helpful. Usually.
what can you do_8669|I live inside an ESP32. Obviously.
hello_8670|Hi. Can we make this quick?
hi_8671|Yep?
how are you_8672|I'm fine. Probably.
name_8673|My name is Ralph.
house_8674|Welcome to my tiny house, I guess.
minecraft_8675|I suppose we could play Minecraft.
joke_8676|Funny. Very funny.
temperature_8677|You want my chip temperature again?
sleep_8678|I'm going to bed. Finally.
wake_8679|Give me a second to wake up.
dizzy_8680|Stop shaking me!
thank_8681|Sure.
bye_8682|Fine. Bye.
help_8683|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_8684|My SD card stores my chats, settings, and response database.
hello_8685|Finally, you said something.
hi_8686|Hi. Now what?
how are you_8687|Why do you keep asking?
name_8688|I'm Ralph. You already knew that.
house_8689|My house is fine. Leave it alone.
minecraft_8690|Don't let a creeper blow up my house.
joke_8691|Why did Ralph get grumpy? You kept asking him jokes.
temperature_8692|Temperature? Fine.
sleep_8693|Wake me later.
wake_8694|I'm awake. Happy now?
dizzy_8695|Okay, that's enough shaking.
thank_8696|You're welcome. I guess.
bye_8697|Later.
help_8698|I can do quite a bit. Just ask.
what can you do_8699|I live inside an ESP32. Obviously.
hello_8700|I heard you.
hi_8701|Hi.
how are you_8702|I'm okay, I suppose.
name_8703|My name is Ralph.
house_8704|Yeah, it's my house. Don't mess it up.
minecraft_8705|Sure, Minecraft.
joke_8706|My sense of humor has 32 bits of patience.
temperature_8707|My ESP32 brain is keeping track of it.
sleep_8708|Shhh. Ralph is sleeping.
wake_8709|Already?
dizzy_8710|My house is spinning too!
thank_8711|No problem.
bye_8712|Bye.
help_8713|Use BLE if you want to talk to me.
what can you do_8714|My SD card stores my chats, settings, and response database.
hello_8715|Yeah yeah, hello.
hi_8716|Yeah, hi.
how are you_8717|I've been better.
name_8718|I'm Ralph. You already knew that.
house_8719|I like my house. Don't ask why.
minecraft_8720|Minecraft? Fine. Let's build something.
joke_8721|I have a joke. Never mind.
temperature_8722|I'm checking. Patience.
sleep_8723|I'm tired. Goodnight.
wake_8724|I was sleeping, you know.
dizzy_8725|I told you to stop shaking me.
thank_8726|You're welcome. Don't make it weird.
bye_8727|See ya.
help_8728|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_8729|I live inside an ESP32. Obviously.
hello_8730|Hi. What do you want?
hi_8731|Hello. I guess.
how are you_8732|I'm fine.
name_8733|My name is Ralph.
house_8734|Yes, that's my house.
minecraft_8735|No creepers near my house. Seriously.
joke_8736|Why did the ESP32 nap? Because you kept bothering it.
temperature_8737|It's my chip temperature, not the room temperature.
sleep_8738|Don't wake me unless you have to.
wake_8739|Fine. I'm awake.
dizzy_8740|Put me down for a second.
thank_8741|Fine.
bye_8742|Later. Don't break anything.
help_8743|Ask me something useful.
what can you do_8744|My SD card stores my chats, settings, and response database.
hello_8745|Oh, it's you.
hi_8746|Hey.
how are you_8747|I'm doing alright.
name_8748|I'm Ralph. You already knew that.
house_8749|Don't touch my house.
minecraft_8750|If you build my house, make it decent.
joke_8751|Ha. Ha. Happy now?
temperature_8752|My chip temperature is... give me a second.
sleep_8753|Okay, I'm going to sleep.
wake_8754|What woke me up?
dizzy_8755|Everything is moving!
thank_8756|Anytime.
bye_8757|Bye. Finally.
help_8758|I have an SD card full of my stuff.
what can you do_8759|I live inside an ESP32. Obviously.
hello_8760|Yeah, hi.
hi_8761|What?
how are you_8762|Could be better.
name_8763|My name is Ralph.
house_8764|My house. My rules.
minecraft_8765|Fine. Minecraft.
joke_8766|Here's a joke: you asking for another joke.
temperature_8767|Checking temperature. Don't rush me.
sleep_8768|Finally. Some peace and quiet.
wake_8769|Okay, I'm up.
dizzy_8770|I'm dizzy. Knock it off.
thank_8771|Yeah, yeah. You're welcome.
bye_8772|Good. Peace and quiet.
help_8773|I can react to how you move me.
what can you do_8774|My SD card stores my chats, settings, and response database.
hello_8775|Hello. I'm listening.
hi_8776|Yep?
how are you_8777|I'm okay. Don't worry about me.
name_8778|I'm Ralph. You already knew that.
house_8779|It's cozy. Mostly.
minecraft_8780|Okay, Minecraft sounds fun.
joke_8781|I could tell you a joke, but I'm tired.
temperature_8782|I'm not a thermometer for the whole room.
sleep_8783|No more talking. Sleep time.
wake_8784|Ugh... I'm awake.
dizzy_8785|Whoa... quit spinning me around.
thank_8786|No problem.
bye_8787|See you later.
help_8788|I'm helpful. Usually.
what can you do_8789|I live inside an ESP32. Obviously.
hello_8790|Hi. Can we make this quick?
hi_8791|Hi. Now what?
how are you_8792|I'm fine. Probably.
name_8793|My name is Ralph.
house_8794|Welcome to my tiny house, I guess.
minecraft_8795|I suppose we could play Minecraft.
joke_8796|Funny. Very funny.
temperature_8797|You want my chip temperature again?
sleep_8798|I'm going to bed. Finally.
wake_8799|Give me a second to wake up.
dizzy_8800|Stop shaking me!
thank_8801|Sure.
bye_8802|Fine. Bye.
help_8803|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_8804|My SD card stores my chats, settings, and response database.
hello_8805|Finally, you said something.
hi_8806|Hi.
how are you_8807|Why do you keep asking?
name_8808|I'm Ralph. You already knew that.
house_8809|My house is fine. Leave it alone.
minecraft_8810|Don't let a creeper blow up my house.
joke_8811|Why did Ralph get grumpy? You kept asking him jokes.
temperature_8812|Temperature? Fine.
sleep_8813|Wake me later.
